message_type,occurence_timestamp,timeStampUTC,author,content,message,emoji,text_content
Chat Message,3:47:52,2026-01-24 11:13:17.525255,@ilaikazulfaa0609,"{'message': 'SABARRRRR ', 'emoji': [], 'text_content': 'SABARRRRR '}",SABARRRRR ,[],SABARRRRR 
Chat Message,3:47:52,2026-01-24 11:13:17.643140,@DhilzzGaming2,"{'message': 'AE ayam ', 'emoji': [], 'text_content': 'AE ayam '}",AE ayam ,[],AE ayam 
Chat Message,3:47:53,2026-01-24 11:13:17.978635,@belaanandaputri9914,"{'message': 'sabar ', 'emoji': [], 'text_content': 'sabar '}",sabar ,[],sabar 
Chat Message,3:47:53,2026-01-24 11:13:18.110825,@mshchkakujo,"{'message': 'Mali si kalah sama ursnuss ', 'emoji': [], 'text_content': 'Mali si kalah sama ursnuss '}",Mali si kalah sama ursnuss ,[],Mali si kalah sama ursnuss 
Chat Message,3:47:53,2026-01-24 11:13:18.073201,@kennyaja11,"{'message': 'tim ayam esports main jam brapa ? ', 'emoji': [], 'text_content': 'tim ayam esports main jam brapa ? '}",tim ayam esports main jam brapa ? ,[],tim ayam esports main jam brapa ? 
Chat Message,3:47:53,2026-01-24 11:13:18.217624,@r4yysy4,"{'message': 'lestagoooo ', 'emoji': [], 'text_content': 'lestagoooo '}",lestagoooo ,[],lestagoooo 
Chat Message,3:47:53,2026-01-24 11:13:18.188936,@yt_siki,"{'message': 'SABARRR ', 'emoji': [], 'text_content': 'SABARRR '}",SABARRR ,[],SABARRR 
Chat Message,3:47:53,2026-01-24 11:13:18.308281,@rayhan4b08,"{'message': 'ae bot ', 'emoji': [], 'text_content': 'ae bot '}",ae bot ,[],ae bot 
Chat Message,3:47:53,2026-01-24 11:13:18.464124,@riskyachil7505,"{'message': 'onic panas ', 'emoji': [], 'text_content': 'onic panas '}",onic panas ,[],onic panas 
Chat Message,3:47:53,2026-01-24 11:13:18.489258,@okiferari223,"{'message': 'Ae bot ', 'emoji': [], 'text_content': 'Ae bot '}",Ae bot ,[],Ae bot 
Chat Message,3:47:53,2026-01-24 11:13:18.631598,@RizkyFitriansyah-l6w,"{'message': 'sabarr ', 'emoji': [], 'text_content': 'sabarr '}",sabarr ,[],sabarr 
Chat Message,3:47:54,2026-01-24 11:13:19.150909,@alyainas,"{'message': 'please ', 'emoji': [], 'text_content': 'please '}",please ,[],please 
Chat Message,3:47:54,2026-01-24 11:13:19.282469,@FathurRohim-u5r,"{'message': 'bot ', 'emoji': [], 'text_content': 'bot '}",bot ,[],bot 
